id,name
48,"Files, whetstone, abrasive, wire brush"
49,"Sheet metal, masonry, plastering, carpenter, interior, painting, glass tool"
50,"Air compressors, air tools, air hose reels, pneumatic equipment"
51,"Car / Construction Machinery Maintenance, Industrial Machinery Service Tools"
52,"Clock tools, loupe, soldering iron, mini torch, heat cutter"
53,"Refrigeration/air conditioning tools/piping materials, coolers/fans/heaters"
54,"Explosion-proof tools, tools for water and gas plumbing work"
55,"Electrical work tools, insulated tools, construction site work lights"
56,Safety protection
57,Titanium tools and stainless steel tools
58,"Outside house operating supplies, camouflage ・ OD color supplies"
59,"Home appliances, health equipment, daily necessities, consumables"
60,"Driver, bit, impact driver, hex wrench"
61,Measing tools
62,"Adhesive tape, adhesive, paint/ lubricant"
63,"Tool tips for electric and air tools, cutting tools"
64,"Architectural hardware and furniture hardware (steel, wood)"
65,"Torque wrench, torque driver, wire twister"
66,"Lights, lighting fixtures, light bulbs, batteries"
67,"Tool Box / Waist Bag, Storage Case, Tool Cabinet, Workbench, Shelf"
68,"Packing/packaging goods, transportation tools, casters"
69,Related goods and tools and parts for coil gues
